rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N
India SWE Recruiting,4/24/2022,5,19,63,63,IN_PROGRESS,63,1
Cloud Americas Recruiting,6/25/2023,,,4,5,IN_PROGRESS,5,1
EMEA Cloud Tech Recruiting,7/9/2023,,1,3,4,IN_PROGRESS,4,1
Cloud Americas Recruiting,6/25/2023,,9,,,IN_PROGRESS,1,1
EMEA Intern Recruiting,2/26/2023,10,8,20,22,IN_PROGRESS,22,1
RSR EMEA SWE S09 Recruiting,6/18/2023,3,,,,IN_PROGRESS,4,1
India SWE Recruiting,7/24/2022,3,4,,,IN_PROGRESS,42,1
India Cloud Recruiting,8/6/2023,,-1,1,1,IN_PROGRESS,1,1
EMEA Intern Recruiting,3/19/2023,10,7,18,20,IN_PROGRESS,20,1
EMEA Cloud Tech Recruiting,6/25/2023,,3,6,7,IN_PROGRESS,7,1
India SWE Recruiting,1/29/2023,,,,,IN_PROGRESS,16,1
GBO Recruiting,7/23/2023,1,2,3,3,IN_PROGRESS,3,2
EMEA Intern Recruiting,3/19/2023,9,8,18,19,IN_PROGRESS,19,1
EMEA Intern Recruiting,1/22/2023,17,,19,21,IN_PROGRESS,21,1
APAC Intern Recruiting,7/16/2023,,1,3,3,IN_PROGRESS,3,14
India SWE Recruiting,6/18/2023,,,9,9,IN_PROGRESS,9,2
India SWE Recruiting,8/6/2023,5,,,,IN_PROGRESS,0,1
India SWE Recruiting,4/16/2023,5,6,13,13,IN_PROGRESS,13,1
APAC Intern Recruiting,7/30/2023,,,,,IN_PROGRESS,1,1
EMEA Intern Recruiting,4/2/2023,,,10,10,IN_PROGRESS,10,1
RSR EMEA SWE S09 Recruiting,7/16/2023,6,,,,IN_PROGRESS,1,1
EMEA Intern Recruiting,3/12/2023,7,5,16,17,IN_PROGRESS,17,1
India SWE Recruiting,5/15/2022,9,15,,,IN_PROGRESS,52,1
India SWE Recruiting,7/23/2023,8,,,,IN_PROGRESS,1,1
APAC Intern Recruiting,8/6/2023,,1,2,2,IN_PROGRESS,2,7
India SWE Recruiting,1/22/2023,8,10,19,20,IN_PROGRESS,20,1
Cloud Americas Recruiting,7/30/2023,,,2,2,IN_PROGRESS,2,2
GBO Recruiting,4/9/2023,,2,,,IN_PROGRESS,1,1
India SWE Recruiting,5/29/2022,,2,,,IN_PROGRESS,37,1
YouTube Recruiting,7/2/2023,,4,7,7,IN_PROGRESS,7,1
India SWE Recruiting,6/11/2023,,,,,IN_PROGRESS,0,1
APAC Intern Recruiting,7/16/2023,,5,,,IN_PROGRESS,3,1
EMEA Intern Recruiting,5/21/2023,3,5,7,7,IN_PROGRESS,7,1
GBO Recruiting,5/21/2023,,2,,,IN_PROGRESS,0,1
India Cloud Recruiting,7/23/2023,,2,,,IN_PROGRESS,0,1
India Cloud Recruiting,7/16/2023,,1,4,5,IN_PROGRESS,5,1
RSR EMEA SWE S09 Recruiting,7/2/2023,8,,,,IN_PROGRESS,5,1
India Cloud Recruiting,5/28/2023,,1,5,5,IN_PROGRESS,5,1
India Cloud Recruiting,7/9/2023,,,,,IN_PROGRESS,0,1
India SWE Recruiting,4/3/2022,10,11,66,66,IN_PROGRESS,66,1
India Cloud Recruiting,6/4/2023,,2,6,6,IN_PROGRESS,6,1
Cloud Americas Recruiting,8/6/2023,,,0,0,IN_PROGRESS,0,1
India SWE Recruiting,7/10/2022,,5,,,IN_PROGRESS,55,1
Cloud Americas Recruiting,7/9/2023,,,0,0,IN_PROGRESS,0,1
EMEA Cloud Tech Recruiting,7/9/2023,,1,5,6,IN_PROGRESS,6,1
GBO Recruiting,7/16/2023,,,,,IN_PROGRESS,5,1
India SWE Recruiting,6/25/2023,9,,,,IN_PROGRESS,0,1
India SWE Recruiting,6/12/2022,,2,,,IN_PROGRESS,26,1
India SWE Recruiting,6/19/2022,2,3,,,IN_PROGRESS,17,1
India SWE Recruiting,8/28/2022,,0,46,47,IN_PROGRESS,47,1
India Cloud Recruiting,7/9/2023,,,,,IN_PROGRESS,1,1
Cloud Americas Recruiting,6/18/2023,,7,9,9,IN_PROGRESS,9,1
India SWE Recruiting,1/22/2023,,,,,IN_PROGRESS,16,1
India SWE Recruiting,6/4/2023,,6,,,IN_PROGRESS,0,1
EMEA Intern Recruiting,2/26/2023,11,10,19,19,IN_PROGRESS,19,1
APAC Intern Recruiting,8/6/2023,,0,2,2,IN_PROGRESS,2,7
GBO Recruiting,9/18/2022,,4,,,IN_PROGRESS,0,1
RSR EMEA SWE S09 Recruiting,7/23/2023,,,1,1,IN_PROGRESS,1,1
EMEA Cloud Tech Recruiting,6/11/2023,,7,10,10,IN_PROGRESS,10,1
EMEA Intern Recruiting,7/16/2023,2,,3,4,IN_PROGRESS,4,1
RSR EMEA SWE S09 Recruiting,7/2/2023,6,9,,,IN_PROGRESS,0,1
APAC Intern Recruiting,7/9/2023,,1,4,4,IN_PROGRESS,4,23
EMEA Intern Recruiting,1/22/2023,13,,18,20,IN_PROGRESS,20,1
India SWE Recruiting,6/12/2022,6,9,54,55,IN_PROGRESS,55,1
India SWE Recruiting,7/10/2022,4,6,57,57,IN_PROGRESS,57,1
GBO Recruiting,4/23/2023,1,2,,,IN_PROGRESS,0,1
GBO Recruiting,7/23/2023,1,2,4,4,IN_PROGRESS,4,1
Cloud Americas Recruiting,7/23/2023,,,2,2,IN_PROGRESS,2,2
GBO Recruiting,4/23/2023,,1,,,IN_PROGRESS,15,1
RSR EMEA SWE S09 Recruiting,6/18/2023,4,9,,,IN_PROGRESS,5,1
India SWE Recruiting,7/9/2023,,,,,IN_PROGRESS,6,1
Cloud Americas Recruiting,7/2/2023,,5,,,IN_PROGRESS,7,1
India SWE Recruiting,8/7/2022,4,6,50,50,IN_PROGRESS,50,1
India SWE Recruiting,4/16/2023,4,,,,IN_PROGRESS,4,1
EMEA Intern Recruiting,8/20/2023,,,0,0,IN_PROGRESS,0,1
GBO Recruiting,4/9/2023,2,,,,IN_PROGRESS,0,1
GBO Recruiting,7/9/2023,,4,5,5,IN_PROGRESS,5,1
APAC Intern Recruiting,7/23/2023,,1,2,2,IN_PROGRESS,2,42
GBO Recruiting,7/30/2023,2,2,3,3,IN_PROGRESS,3,3
GBO Recruiting,5/21/2023,,3,,,IN_PROGRESS,0,1
India SWE Recruiting,4/17/2022,10,13,,,IN_PROGRESS,43,1
India SWE Recruiting,5/8/2022,4,10,,,IN_PROGRESS,34,1
Cloud Americas Recruiting,6/25/2023,,2,5,6,IN_PROGRESS,6,1
Cloud Americas Recruiting,7/9/2023,,,6,,IN_PROGRESS,1,1
India SWE Recruiting,7/2/2023,9,,,,IN_PROGRESS,4,1
Cloud Americas Recruiting,5/21/2023,,1,13,13,IN_PROGRESS,13,1
GBO Recruiting,5/14/2023,,,,,IN_PROGRESS,1,1
EMEA Intern Recruiting,3/19/2023,,6,12,13,IN_PROGRESS,13,1
India SWE Recruiting,3/27/2022,4,7,,,IN_PROGRESS,66,1
Cloud Americas Recruiting,4/30/2023,,,,,IN_PROGRESS,5,1
India SWE Recruiting,4/16/2023,7,,,,IN_PROGRESS,15,1
India SWE Recruiting,5/21/2023,,3,9,10,IN_PROGRESS,10,1
Cloud Americas Recruiting,7/9/2023,,,,,IN_PROGRESS,1,1
APAC Intern Recruiting,7/16/2023,,0,3,3,IN_PROGRESS,3,2
India SWE Recruiting,6/4/2023,,,8,8,IN_PROGRESS,8,1
India SWE Recruiting,4/30/2023,,,,,IN_PROGRESS,10,1
EMEA Intern Recruiting,3/12/2023,,,14,17,IN_PROGRESS,17,1
India SWE Recruiting,2/20/2022,1,13,,,IN_PROGRESS,67,1
GBO Recruiting,7/2/2023,,5,,,IN_PROGRESS,0,1
India SWE Recruiting,3/26/2023,,,,,IN_PROGRESS,5,1
India SWE Recruiting,5/7/2023,,10,15,15,IN_PROGRESS,15,1
RSR EMEA SWE S09 Recruiting,6/11/2023,6,11,,,IN_PROGRESS,0,1
EMEA Intern Recruiting,2/26/2023,12,15,,,IN_PROGRESS,24,1
GBO Recruiting,5/21/2023,,5,,,IN_PROGRESS,4,1
EMEA Intern Recruiting,3/19/2023,4,7,9,10,IN_PROGRESS,10,1
Cloud Americas Recruiting,7/9/2023,,3,5,5,IN_PROGRESS,5,1
India SWE Recruiting,12/4/2022,9,37,,,IN_PROGRESS,15,1
Cloud Americas Recruiting,8/13/2023,,3,,,IN_PROGRESS,1,1
India SWE Recruiting,6/25/2023,,3,,,IN_PROGRESS,1,1
APAC Intern Recruiting,7/9/2023,,3,4,4,IN_PROGRESS,4,2
India SWE Recruiting,8/20/2023,,,0,0,IN_PROGRESS,0,1
India SWE Recruiting,7/9/2023,,6,,,IN_PROGRESS,0,1
GBO Recruiting,8/13/2023,,,,,IN_PROGRESS,0,2
India SWE Recruiting,7/24/2022,5,10,55,56,IN_PROGRESS,56,1
India SWE Recruiting,3/26/2023,17,,,,IN_PROGRESS,17,1
EMEA Cloud Tech Recruiting,6/4/2023,,4,10,10,IN_PROGRESS,10,1
India Cloud Recruiting,6/25/2023,,3,,,IN_PROGRESS,0,1
India SWE Recruiting,2/19/2023,23,,,,IN_PROGRESS,21,1
GBO Recruiting,6/11/2023,,2,7,8,IN_PROGRESS,8,1
RSR EMEA SWE S09 Recruiting,6/4/2023,9,13,,,IN_PROGRESS,9,1
India SWE Recruiting,8/13/2023,,,,,IN_PROGRESS,1,2
EMEA Intern Recruiting,1/22/2023,,,,,IN_PROGRESS,1,1
RSR EMEA SWE S09 Recruiting,4/23/2023,6,19,,,IN_PROGRESS,14,1
Cloud Americas Recruiting,7/16/2023,,,2,2,IN_PROGRESS,2,1
India SWE Recruiting,4/24/2022,17,,,,IN_PROGRESS,43,1
Cloud Americas Recruiting,6/11/2023,,6,8,8,IN_PROGRESS,8,1
India SWE Recruiting,7/2/2023,,,4,4,IN_PROGRESS,4,2
India SWE Recruiting,5/8/2022,5,10,,,IN_PROGRESS,53,1
YouTube Recruiting,4/9/2023,,4,,,IN_PROGRESS,7,1
EMEA Intern Recruiting,6/11/2023,9,,10,10,IN_PROGRESS,10,1
Cloud Americas Recruiting,7/9/2023,,2,,,IN_PROGRESS,4,1
India SWE Recruiting,7/17/2022,10,,,,IN_PROGRESS,30,1
India SWE Recruiting,7/17/2022,3,4,,,IN_PROGRESS,23,1
RSR EMEA SWE S09 Recruiting,7/9/2023,,,,,IN_PROGRESS,4,1
EMEA Cloud Tech Recruiting,5/7/2023,1,3,,,IN_PROGRESS,0,1
Cloud Americas Recruiting,6/25/2023,,,4,4,IN_PROGRESS,4,1
India SWE Recruiting,6/4/2023,,,,,IN_PROGRESS,0,1
GBO Recruiting,8/13/2023,,1,1,1,IN_PROGRESS,1,2
EMEA Intern Recruiting,4/16/2023,11,13,14,15,IN_PROGRESS,15,1
India SWE Recruiting,6/26/2022,,6,,,IN_PROGRESS,24,1
EMEA Intern Recruiting,4/2/2023,5,7,11,12,IN_PROGRESS,12,1
India SWE Recruiting,4/10/2022,11,18,70,71,IN_PROGRESS,71,1
Cloud Americas Recruiting,7/23/2023,,,3,3,IN_PROGRESS,3,1
India SWE Recruiting,7/9/2023,,,,,IN_PROGRESS,3,2
India SWE Recruiting,3/26/2023,5,,,,IN_PROGRESS,17,1
EMEA Intern Recruiting,4/16/2023,,,,,IN_PROGRESS,0,2
Cloud Americas Recruiting,6/25/2023,,,2,4,IN_PROGRESS,4,1
RSR EMEA SWE S09 Recruiting,6/4/2023,4,13,,,IN_PROGRESS,7,1
EMEA Cloud Tech Recruiting,7/9/2023,,3,4,5,IN_PROGRESS,5,1
India SWE Recruiting,5/29/2022,3,6,60,61,IN_PROGRESS,61,1
EMEA Intern Recruiting,1/22/2023,18,,19,19,IN_PROGRESS,19,1
India SWE Recruiting,4/17/2022,5,29,,,IN_PROGRESS,43,1
GBO Recruiting,3/26/2023,,4,,,IN_PROGRESS,0,1
India SWE Recruiting,7/9/2023,8,,,,IN_PROGRESS,0,1
GBO Recruiting,7/16/2023,,1,1,1,IN_PROGRESS,1,1
EMEA Intern Recruiting,4/9/2023,2,,3,3,IN_PROGRESS,3,1
India SWE Recruiting,7/24/2022,,5,,,IN_PROGRESS,26,1
India Cloud Recruiting,7/30/2023,,,,,IN_PROGRESS,0,1
India SWE Recruiting,3/20/2022,,10,,,IN_PROGRESS,46,1
EMEA Intern Recruiting,6/25/2023,3,,5,5,IN_PROGRESS,5,1
India SWE Recruiting,6/25/2023,,,,,IN_PROGRESS,1,1
India SWE Recruiting,4/16/2023,,,13,13,IN_PROGRESS,13,1
Cloud Americas Recruiting,7/30/2023,,,,,IN_PROGRESS,0,1
