,rpo_group,application_create_week,phone_interview,onsite_interview,offer_extended,offer_accepted,current_outcome,application_closed_week,N,n_weeks,candidate_pid
145,India SWE Recruiting,2023-08-06,,,,,IN_PROGRESS,1,2,[0 1],9098df539769fcc2
146,India SWE Recruiting,2023-08-06,,,,,IN_PROGRESS,1,2,[0 1],7af435f4fce59ab5
154,India SWE Recruiting,2022-09-25,,2.0,46.0,47.0,IN_PROGRESS,47,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47]",98a6d8757f93d280
157,India SWE Recruiting,2023-08-06,,,,,IN_PROGRESS,2,1,[0 1 2],78c1ac1b0a04a14f
158,India SWE Recruiting,2023-05-28,8.0,14.0,,,IN_PROGRESS,8,1,[0 1 2 3 4 5 6 7 8],16a715ff27536aea
161,India SWE Recruiting,2022-05-22,3.0,7.0,58.0,59.0,IN_PROGRESS,59,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59]",7dbaed516dc78c87
162,India SWE Recruiting,2023-08-06,,5.0,,,IN_PROGRESS,0,1,[0],4ef9c027b2da595c
163,India SWE Recruiting,2023-06-25,,,3.0,3.0,IN_PROGRESS,3,1,[0 1 2 3],f939d83b0b989595
164,India SWE Recruiting,2023-03-19,5.0,12.0,15.0,15.0,IN_PROGRESS,15,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15],0c888029b0b420d2
173,India SWE Recruiting,2023-03-26,6.0,10.0,17.0,17.0,IN_PROGRESS,17,1,[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17],6c1898025b9aab17
176,India SWE Recruiting,2022-05-15,7.0,11.0,,,IN_PROGRESS,59,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
 48 49 50 51 52 53 54 55 56 57 58 59]",f00e133719bdf506
185,India SWE Recruiting,2023-01-15,3.0,9.0,30.0,30.0,IN_PROGRESS,30,1,"[ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
 24 25 26 27 28 29 30]",6968a73f3b616452
186,India SWE Recruiting,2023-05-21,,3.0,7.0,7.0,IN_PROGRESS,7,1,[0 1 2 3 4 5 6 7],7b4c974a3d5c4840
